id,pop,id_pop,imfGDP,unGDP,countries,gdpPerCapita,continent,rank
116,2826.02,8,23032000000,18260043500,Albania,8149.977707,Europe,116
117,34858.402,508,21936000000,15776758633,Mozambique,629.2887436,Africa,117
118,24015.789,466,21309000000,19157055766,Mali,887.2912733,Africa,118
119,35219.853,887,21045000000,9946815477,Yemen,597.5323066,Asia,119
120,23840.247,854,20785000000,19737616003,Burkina Faso,871.8449939,Africa,120
121,2719.694,72,20756000000,17614859700,Botswana,7631.740924,Africa,121
122,536.74,470,20311000000,17720643244,Malta,37841.41297,Europe,122
123,14080.072,204,19940000000,17687623535,Benin,1416.18594,Africa,123
124,2484.557,266,19319000000,18520706721,Gabon,7775.631632,Africa,124
125,3493.629,496,18782000000,15098022752,Mongolia,5376.071701,Asia,125
126,2824.738,388,18761000000,14657583648,Jamaica,6641.677918,North America,126
127,7142.529,558,17353000000,14013014452,Nicaragua,2429.531613,North America,127
128,28238.972,562,17073000000,14915001994,Niger,604.5899971,Africa,128
129,819.594,328,16329000000,8044499719,Guyana,19923.27909,South America,129
130,3329.865,498,16000000000,13680098590,Moldova,4804.999602,Europe,130
131,2082.706,807,15801000000,13881177347,North Macedonia,7586.764527,Europe,131
132,31056.61,450,15763000000,14449793300,Madagascar,507.5570064,Africa,132
133,455.858,96,15153000000,14006497000,Brunei,33240.6144,Asia,133
134,1301.978,480,14819000000,11525219786,Mauritius,11381.91275,Africa,134
135,6244.547,178,14407000000,12840627675,Republic of the Congo,2307.132927,Africa,135
136,7736.681,418,14244000000,19074407740,Laos,1841.099562,Asia,136
137,14414.91,646,13927000000,11069922510,Rwanda,966.1524075,Africa,137
138,415.223,44,13876000000,11208600000,Bahamas,33418.18734,North America,138
139,21475.962,454,13176000000,12199195237,Malawi,613.5231567,Africa,139
140,6839.606,417,12681000000,8740681889,Kyrgyzstan,1854.054166,Asia,140
141,2645.805,516,12647000000,12236251093,Namibia,4780.019692,Africa,141
142,18847.148,148,12596000000,16409566631,Chad,668.3239289,Africa,142
143,10331.513,762,11816000000,8746309306,Tajikistan,1143.685344,Asia,143
144,18706.922,706,11515000000,7628276434,Somalia,615.5475497,Africa,144
145,4993.922,478,10357000000,9996240419,Mauritania,2073.921058,Africa,145
146,1754.993,226,10041000000,12430854974,Equatorial Guinea,5721.390342,Africa,146
147,9260.864,768,9111000000,8160194303,Togo,983.8174926,Africa,147
148,626.102,499,7058000000,5809147307,Montenegro,11272.92358,Europe,148
149,517.887,462,6977000000,5405576797,Maldives,13472.05085,Asia,149
150,11277.092,728,6267000000,4304069241,South Sudan,555.7283739,Africa,150
151,282.309,52,6220000000,4843800000,Barbados,22032.59549,North America,151
152,943.072,242,5511000000,4296235427,Fiji,5843.668352,Oceania,152
153,1222.075,748,4648000000,4732011477,Eswatini,3803.367224,Africa,153
154,5536.949,430,4347000000,2444888955,Liberia,785.0894057,Africa,154
155,1152.329,262,3873000000,3701419641,Djibouti,3361.019292,Africa,155
156,106.177,533,3827000000,3126019399,Aruba,36043.58759,North America,156
157,80.341,20,3692000000,3324647529,Andorra,45954.12056,Europe,157
158,628.785,740,3539000000,3223849313,Suriname,5628.314925,South America,158
159,8977.972,694,3519000000,4249234287,Sierra Leone,391.9593423,Africa,159
160,416.656,84,3218000000,2491673431,Belize,7723.397719,North America,160
161,13591.657,108,3190000000,3899747783,Burundi,234.7028033,Africa,161
162,5915.627,140,2760000000,2517718099,Central African Republic,466.5608565,Africa,162
163,792.382,64,2686000000,2381373513,Bhutan,3389.779172,Asia,163
164,604.461,132,2598000000,1936174201,Cape Verde,4298.044043,Africa,164
165,180.805,662,2469000000,1764902581,Saint Lucia,13655.59581,North America,165
166,2841.803,270,2388000000,2038414974,Gambia,840.3115909,Africa,166
167,2356.083,426,2373000000,2373416386,Lesotho,1007.180138,Africa,167
168,108.263,690,2085000000,1286662389,Seychelles,19258.65716,Africa,168
169,1379.883,626,2023000000,2004164748,Timor-Leste,1466.066326,Asia,169
170,33.614,674,1998000000,1701595072,San Marino,59439.51925,Europe,170
171,2197.149,624,1991000000,1563164283,Guinea-Bissau,906.1743195,Africa,171
172,94.816,28,1949000000,1421200000,Antigua and Barbuda,20555.60243,North America,172
173,756.673,90,1690000000,1632291061,Solomon Islands,2233.461482,Oceania,173
174,867.605,174,1364000000,1340468496,Comoros,1572.144006,Africa,174
175,126.887,308,1306000000,1115287981,Grenada,10292.62257,North America,175
176,342.325,548,1166000000,980571481,Vanuatu,3406.119915,Oceania,176
177,47.847,659,1069000000,860844444,Saint Kitts and Nevis,22342.04861,North America,177
178,103.683,670,1039000000,880564698,Saint Vincent and the Grenadines,10020.92918,North America,178
179,228.966,882,939000000,857261321,Samoa,4101.04557,Oceania,179
180,73.368,212,697000000,548215595,Dominica,9500.05452,North America,180
181,236.381,678,674000000,554603297,Sao Tome and Principe,2851.328999,Africa,181
182,108.683,776,547000000,471831997,Tonga,5032.98584,Oceania,182
183,116.3,583,458000000,404178050,Micronesia,3938.091144,Oceania,183
184,42.415,584,277000000,256979000,Marshall Islands,6530.708476,Oceania,184
185,18.051,585,267000000,217804328,Palau,14791.4243,Oceania,185
186,135.763,296,246000000,227454167,Kiribati,1811.981173,Oceania,186
187,12.884,520,150000000,155015921,Nauru,11642.3471,Oceania,187
188,11.478,798,63000000,60170178,Tuvalu,5488.761108,Oceania,188
189,43372.95,4,0,14939009447,Afghanistan,344.431482,Asia,189
190,63.935,60,0,7230610106,Bermuda,113093.1431,North America,190
191,31.763,92,0,1538792087,British Virgin Islands,48446.05632,North America,191
192,69.885,136,0,5808612073,Cayman Islands,83116.72137,North America,192
193,21949.268,144,0,85308759183,Sri Lanka,3886.633449,Asia,193
194,17.072,184,0,327543922,Cook Islands,19186.03104,Oceania,194
195,11174.587,192,0,1.27E+11,Cuba,11337.65452,North America,195
196,3817.651,232,0,2255389718,Eritrea,590.7794395,Africa,196
197,311.383,258,0,6054675381,French Polynesia,19444.46351,Oceania,197
198,5494.963,275,0,18036800000,Palestine,3282.424286,Asia,198
199,56.789,304,0,3272512495,Greenland,57625.81653,North America,199
200,26244.582,408,0,16750452731,North Korea,638.2442186,Asia,200
201,1667.483,412,0,9412100728,Kosovo,5644.495763,Europe,201
202,5219.044,422,0,37944879049,Lebanon,7270.465443,Asia,202
203,39.822,438,0,6607749611,Liechtenstein,165932.1383,Europe,203
204,36.157,492,0,8596156574,Monaco,237745.2934,Europe,204
205,4.372,500,0,71552836,Montserrat,16366.15645,North America,205
206,192.965,531,0,2699612444,Curacao,13990.16632,North America,206
207,44.309,534,0,1153842827,Sint Maarten,26040.82302,North America,207
208,295.966,540,0,10071349707,New Caledonia,34028.7388,Oceania,208
209,15.936,660,0,302714815,Anguilla,18995.65857,North America,209
210,49358.228,729,0,35867261255,Sudan,726.6723849,Africa,210
211,24348.053,760,0,19718893437,Syria,809.8755756,Asia,211
212,46.431,796,0,943269768,Turks and Caicos Islands,20315.51696,North America,212
