Date,Open,High,Low,Close,Percent_Change
2020-05-06,68.08,68.56,67.36,67.36,-1.06
2020-05-07,68.3,68.88,67.76,68.63,0.48
2020-05-08,69.16,69.94,68.77,69.42,0.38
2020-05-11,68.91,70.83,68.86,70.16,1.81
2020-05-12,70.36,70.75,68.74,68.79,-2.23
2020-05-13,68.85,69.27,66.42,67.47,-2.01
2020-05-14,66.75,67.87,66.2,67.81,1.58
2020-05-15,67.5,68.72,66.95,68.66,1.72
2020-05-18,68.09,69.62,67.71,69.2,1.63
2020-05-19,69.35,69.6,68.67,68.67,-0.97
2020-05-20,69.48,70.52,69.36,70.34,1.23
2020-05-21,70.4,70.77,69.67,70.14,-0.37
2020-05-22,69.84,70.64,69.59,70.52,0.98
2020-05-26,71.86,72.05,70.61,70.85,-1.41
2020-05-27,70.86,71.09,69.56,70.89,0.04
2020-05-28,69.84,72.04,69.8,70.84,1.42
2020-05-29,70.85,71.63,70.67,71.45,0.85
2020-06-01,70.92,71.9,70.9,71.59,0.95
2020-06-02,71.53,71.98,70.94,71.96,0.61
2020-06-03,71.92,72.33,71.49,71.82,-0.13
2020-06-04,71.52,71.95,70.24,70.61,-1.27
2020-06-05,70.66,72.25,70.3,71.92,1.78
2020-06-08,71.12,72.4,71.12,72.33,1.71
2020-06-09,72.27,73.4,72.16,72.81,0.75
2020-06-10,72.98,73.71,72.81,73.29,0.43
2020-06-11,72.12,72.72,70.1,70.19,-2.68
2020-06-12,71.42,71.85,69.3,70.66,-1.07
2020-06-15,69.54,71.24,69.4,70.99,2.09
2020-06-16,72.26,72.75,71.29,72.14,-0.17
2020-06-17,72.36,73.0,71.57,72.56,0.27
2020-06-18,72.46,72.57,71.35,71.8,-0.91
2020-06-19,72.2,72.39,71.07,71.59,-0.85
2020-06-22,71.45,72.64,71.16,72.59,1.6
2020-06-23,72.78,73.8,72.26,73.22,0.6
2020-06-24,73.08,73.77,71.49,71.6,-2.02
2020-06-25,71.5,72.14,71.0,72.07,0.8
2020-06-26,71.57,71.67,67.6,68.0,-4.99
