Date,Open,High,Low,Close,Percent_Change
2023-04-14,287.0,288.48,283.69,286.14,-0.3
2023-04-17,289.93,291.6,286.16,288.8,-0.39
2023-04-18,291.57,291.76,287.01,288.37,-1.1
2023-04-19,285.99,289.05,284.54,288.45,0.86
2023-04-20,285.25,289.03,285.08,286.11,0.3
2023-04-21,285.01,286.27,283.06,285.76,0.26
2023-04-24,282.09,284.95,278.72,281.77,-0.11
2023-04-25,279.51,281.6,275.37,275.42,-1.46
2023-04-26,296.7,299.57,292.73,295.37,-0.45
2023-04-27,295.97,305.2,295.25,304.83,2.99
2023-04-28,304.01,308.93,303.31,307.26,1.07
2023-05-01,306.97,308.6,305.15,305.56,-0.46
2023-05-02,307.76,309.18,303.91,305.41,-0.76
2023-05-03,306.62,308.61,304.09,304.4,-0.72
2023-05-04,306.24,307.76,303.4,305.41,-0.27
2023-05-05,305.72,311.97,304.27,310.65,1.61
2023-05-08,310.13,310.2,306.09,308.65,-0.48
2023-05-09,308.0,310.04,306.31,307.0,-0.32
2023-05-10,308.62,313.0,307.67,312.31,1.2
2023-05-11,310.1,311.12,306.26,310.11,0.0
2023-05-12,310.55,310.65,306.6,308.97,-0.51
2023-05-15,309.1,309.9,307.59,309.46,0.12
2023-05-16,309.83,313.71,309.83,311.74,0.62
2023-05-17,312.29,314.43,310.74,314.0,0.55
2023-05-18,314.53,319.04,313.72,318.52,1.27
2023-05-19,316.74,318.75,316.37,318.34,0.51
2023-05-22,318.6,322.59,318.01,321.18,0.81
2023-05-23,320.03,322.72,315.25,315.26,-1.49
2023-05-24,314.73,316.5,312.61,313.85,-0.28
2023-05-25,323.24,326.9,320.0,325.92,0.83
2023-05-26,324.02,333.4,323.88,332.89,2.74
2023-05-30,335.23,335.74,330.52,331.21,-1.2
2023-05-31,332.29,335.94,327.33,328.39,-1.17
2023-06-01,325.93,333.53,324.72,332.58,2.04
2023-06-02,334.25,337.5,332.55,335.4,0.34
2023-06-05,335.22,338.56,334.66,335.94,0.21
2023-06-06,335.33,335.37,332.17,333.68,-0.49
2023-06-07,331.65,334.49,322.5,323.38,-2.49
2023-06-08,323.94,326.64,323.35,325.26,0.41
2023-06-09,324.99,329.99,324.41,326.79,0.55
2023-06-12,328.58,332.1,325.16,331.85,1.0
2023-06-13,334.47,336.98,330.39,334.29,-0.05
2023-06-14,334.34,339.04,332.81,337.34,0.9
2023-06-15,337.48,349.84,337.2,348.1,3.15
2023-06-16,351.32,351.47,341.95,342.33,-2.56
2023-06-20,339.31,342.08,335.86,338.05,-0.37
2023-06-21,336.37,337.73,332.07,333.56,-0.84
2023-06-22,334.12,340.12,333.34,339.71,1.67
2023-06-23,334.36,337.96,333.45,335.02,0.2
2023-06-26,333.72,336.11,328.49,328.6,-1.53
2023-06-27,331.86,336.15,329.3,334.57,0.82
2023-06-28,334.66,337.98,333.81,335.85,0.36
2023-06-29,334.71,336.11,332.62,335.05,0.1
2023-06-30,337.75,342.73,337.2,340.54,0.83
2023-07-03,339.19,340.9,336.57,337.99,-0.35
