"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
"14414.910",646,"13927000000","11069922510","Rwanda","966.1524075","Africa",137
"415.223",44,"13876000000","11208600000","Bahamas","33418.1873400","North America",138
"21475.962",454,"13176000000","12199195237","Malawi","613.5231567","Africa",139
"6839.606",417,"12681000000","8740681889","Kyrgyzstan","1854.0541660","Asia",140
"2645.805",516,"12647000000","12236251093","Namibia","4780.0196920","Africa",141
"18847.148",148,"12596000000","16409566631","Chad","668.3239289","Africa",142
"10331.513",762,"11816000000","8746309306","Tajikistan","1143.6853440","Asia",143
"18706.922",706,"11515000000","7628276434","Somalia","615.5475497","Africa",144
"4993.922",478,"10357000000","9996240419","Mauritania","2073.9210580","Africa",145
"1754.993",226,"10041000000","12430854974","Equatorial Guinea","5721.3903420","Africa",146
"9260.864",768,"9111000000","8160194303","Togo","983.8174926","Africa",147
"626.102",499,"7058000000","5809147307","Montenegro","11272.9235800","Europe",148
"517.887",462,"6977000000","5405576797","Maldives","13472.0508500","Asia",149
"11277.092",728,"6267000000","4304069241","South Sudan","555.7283739","Africa",150
"282.309",52,"6220000000","4843800000","Barbados","22032.5954900","North America",151
"943.072",242,"5511000000","4296235427","Fiji","5843.6683520","Oceania",152
"1222.075",748,"4648000000","4732011477","Eswatini","3803.3672240","Africa",153
"5536.949",430,"4347000000","2444888955","Liberia","785.0894057","Africa",154
"1152.329",262,"3873000000","3701419641","Djibouti","3361.0192920","Africa",155
"106.177",533,"3827000000","3126019399","Aruba","36043.5875900","North America",156
"80.341",20,"3692000000","3324647529","Andorra","45954.1205600","Europe",157
"628.785",740,"3539000000","3223849313","Suriname","5628.3149250","South America",158
"8977.972",694,"3519000000","4249234287","Sierra Leone","391.9593423","Africa",159
"416.656",84,"3218000000","2491673431","Belize","7723.3977190","North America",160
"13591.657",108,"3190000000","3899747783","Burundi","234.7028033","Africa",161
"5915.627",140,"2760000000","2517718099","Central African Republic","466.5608565","Africa",162
"792.382",64,"2686000000","2381373513","Bhutan","3389.7791720","Asia",163
"604.461",132,"2598000000","1936174201","Cape Verde","4298.0440430","Africa",164
"180.805",662,"2469000000","1764902581","Saint Lucia","13655.5958100","North America",165
"2841.803",270,"2388000000","2038414974","Gambia","840.3115909","Africa",166
"2356.083",426,"2373000000","2373416386","Lesotho","1007.1801380","Africa",167
"108.263",690,"2085000000","1286662389","Seychelles","19258.6571600","Africa",168
"1379.883",626,"2023000000","2004164748","Timor-Leste","1466.0663260","Asia",169
"33.614",674,"1998000000","1701595072","San Marino","59439.5192500","Europe",170
"2197.149",624,"1991000000","1563164283","Guinea-Bissau","906.1743195","Africa",171
"94.816",28,"1949000000","1421200000","Antigua and Barbuda","20555.6024300","North America",172
"756.673",90,"1690000000","1632291061","Solomon Islands","2233.4614820","Oceania",173
"867.605",174,"1364000000","1340468496","Comoros","1572.1440060","Africa",174
"126.887",308,"1306000000","1115287981","Grenada","10292.6225700","North America",175
"342.325",548,"1166000000","980571481","Vanuatu","3406.1199150","Oceania",176
"47.847",659,"1069000000","860844444","Saint Kitts and Nevis","22342.0486100","North America",177
"103.683",670,"1039000000","880564698","Saint Vincent and the Grenadines","10020.9291800","North America",178
"228.966",882,"939000000","857261321","Samoa","4101.0455700","Oceania",179
